,项目名称,中标金额（元）,中标单位名称,招标人,监督部门,招标代理,时间
387,北二环南侧沅丰坝片区污水干管工程项目施工第一标段,6591686.64,湖南兴旺建设有限公司,长沙市开福区公共工程建设中心,长沙市开福区招投标管理办公室,/,时间：2019-10-23 14:00:21
388,长沙县金井镇、北山镇污水处理厂提标改造工程,6653352.01,根据招标投标相关法律法规及招标文件的规定，长沙县金井镇、北山镇污水处理厂提标改造工程评标工作已经结束，本项目采用《长沙市房屋建筑和市政工程施工招标评标活动管理规定》（长住建发[2019]41号）中规定的“综合评估法（Ⅰ）”办法，其中投标报价评审采用“附表6（2）”，评标委员会推荐了以下3名中标候选人（不排序），根据低报价定标法确定中标候选人（排序），现将相关信息公示如下。,长沙县农村环境建设投资有限公司,长沙县发展和改革局,/,时间：2019-10-22 16:59:20
389,长沙经开区蓝田路（长永高速一雷鸣路）（桩号K0+000-K0+100）道路工程项目,5320254.75,湖南擎天建设工程有限公司,长沙经济技术开发区项目开发建设管理有限公司,长沙经济技术开发区政府采购与招投标办公室,/,时间：2019-10-22 15:23:20
390,长沙市天心区天心佳苑建设项目工程总承包（EPC+F）,公示期2019年10月 22日至2019年 10月25日。,深圳中海建筑有限公司/中国建筑第五工程局有限公司,长沙市天心棚改投资有限责任公司,长沙市天心区城乡建设局,/,时间：2019-10-22 15:20:20
391,金溪湾二期保障性安居工程项目配电工程,6955559.92,长沙市和盛电力工程安装有限公司,湖南春雷锦源房地产开发有限公司,长沙市岳麓区建设工程招投标管理办公室,/,时间：2019-10-22 12:35:22
392,黄桥大道东侧雨水箱涵工程三期（航空西路-高乌大道）,24278758.01,湖南星大建设集团有限公司,长沙市望城经开区基础设施建设有限公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-10-22 00:07:27
393,江山帝景雅典四期和会所主体及地下室建设工程,14202.112776万,湖南麓谷建设工程有限公司,湖南楚盛园置业发展有限公司,湘江新区管理委员会住建环保局,/,时间：2019-10-22 00:07:26
394,潇湘大道绿道（北二环-龙王港）项目施工,4829067.53,湖南湘荣建筑工程有限公司,长沙滨江新城建设开发有限责任公司,湖南湘江新区管委会住建环保局,/,时间：2019-10-22 00:07:25
395,长沙市开福区军民融合科技城外线工程设计施工总承包,6808050.33,湖南华信安装工程有限公司/湖南动力源电力勘测设计有限公司,湖南金霞国科投资有限公司,长沙市开福区招投标管理办公室,/,时间：2019-10-22 00:07:24
396,茶山路街景整治-道路提质改造工程（银杉路至滨江景观道）施工,6342607.09,湖南北山建设集团股份有限公司,长沙滨江新城建设开发有限责任公司,湖南湘江新区管委会住建环保局,/,时间：2019-10-22 00:07:21
397,黄花商贸城棚户区改造及配套基础设施建设工程第一标段,4641958.06,湖南天禹建设园林有限公司,长沙县黄花镇人民政府,长沙县发展和改革局,/,时间：2019-10-21 23:24:36
398,2019年开福区精细化维护项目,4802866.57,湖南雄新建筑有限公司,长沙市开福区市政设施维护中心,长沙市开福区招标投标管理办公室,/,时间：2019-10-21 23:24:35
399,黄花商贸城棚户区改造及配套基础设施建设工程第二标段,3593725.72,长沙春华建筑有限公司,长沙县黄花镇人民政府,长沙县发展和改革局,/,时间：2019-10-21 23:24:24
400,靳江河南岸防洪整治工程景观工程（洋湖大道-三环线）,15240284.08,湖南省绿林市政景观工程有限公司,长沙先导城市建设投资有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-10-21 12:25:20
401,协力路（金洲大道-无名村道）（金洲大道往南约700米）道路工程施工,17089472.56,承运建工集团有限,长沙麓谷建设发展有限公司,长沙高新区招投标管理办公室,/,时间：2019-10-21 12:19:20
402,长沙市开福区滨河北路（新欣路箱涵-车站北路）建设项目（K0+656-K1+360段）施工,公示期2019年10月18日至2019年 10月23日。,湖南顺天建设集团有限公司,长沙开福城市建设投资有限公司,长沙市开福区招投标管理办公室,/,时间：2019-10-18 12:48:27
403,湖南日报印务中心二期厂房建设工程设计施工总承包,23053615.88,湖南三煜建设工程有限公司(联合体牵头人),华声在线股份有限公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-10-18 12:48:21
404,电视机厂北院小区配套基础设施建设项目,3241706.82,湖南咸嘉建设工程集团有限公司,长沙市天心区青园街道办事处,长沙市天心区住房和城乡建设局,/,时间：2019-10-18 12:48:20
405,岳麓山风景名胜区西大门（含桃花岭景区东入口连通桥）工程项目建筑工程施工,115692947.3,湖南省沙坪建设有限公司,长沙岳麓山国家大学科技城建设投资有限公司,湘江新区管委会住建环保局,/,时间：2019-10-17 17:05:20
406,高桥镇生态移民二期室外配套工程建设项目,8751155.82,湖南天茂景观建设工程有限公司,长沙县高桥镇人民政府,长沙县发展和改革局,/,时间：2019-10-17 16:59:20
407,长沙市花桥污水处理厂改扩建工程（三期）工艺管道安装工程,19859782.21,中南水务工程有限公司,长沙市排水有限责任公司,长沙市建设工程招投标管理中心,/,时间：2019-10-17 16:14:22
408,宁乡市大屯营镇卫生院改建工程,4435440.45,湖南大胜集团有限公司,宁乡市大屯营镇人民政府,宁乡市建设工程招投标事务中心,/,时间：2019-10-17 15:50:23
409,银晟路（银杉路K0+000-万家塘路以东K0+650）道路工程施工,32706325.11,浩天建工集团有限公司,长沙湘江新城投资有限公司,长沙市望城区建设工程招投标管理办公室,/,时间：2019-10-17 15:50:21
410,月湖二期农安小区幼儿园项目,9483405.13,湖南擎天建设工程有限公司,长沙市开福区公共工程建设中心,长沙市开福区招标投标管理办公室,/,时间：2019-10-17 15:14:20
411,岳麓区社会福利中心建设（含浦敬老院改扩建）项目（第二次）,68864382.36,湖南中柱建设有限公司,长沙市岳麓区民政局,长沙市岳麓区建设工程招投标办公室,/,时间：2019-10-17 14:14:20
412,通号望麓嘉园综合楼装修项目施工,7354637.18,湖南长沙丁字建筑（集团）有限公司,长沙麓谷建设发展有限公司,长沙高新区招投标管理办公室,/,时间：2019-10-17 13:53:20
413,沙坪工业园等14个公交站场配电设备运行维护服务项目补充公示,/,湖南睿扬电力建设有限公司,长沙市湘行交通新能源有限公司,/,/,时间：2019-10-17 11:59:23
414,中信湘雅生殖与遗传专科医院有限公司新院建设项目（湖南省孕前基因检测技术应用示范第二分中心建设项目) 高压外线及配电工程施工,12705198.92,湖南华信安装工程有限公司,中信湘雅生殖与遗传专科医院有限公司,长沙市高新区建设工程招标投标管理办公室,/,时间：2019-10-17 11:59:22
415,浏阳市普迹镇卫生院公租房配套设施二期建设项目,2710078.24,湖南共赢建筑工程有限公司,浏阳市普迹镇人民政府,浏阳市发展和改革局,/,时间：2019-10-17 11:59:21
416,长沙县星沙街道社区卫生服务中心改造项目电力配电安装工程施工,公示期2019年10月17日至2019年10月22日。,湖南鸿齐电力建设有限公司,长沙县重点建设项目事务中心,长沙县发展和改革局,/,时间：2019-10-17 11:59:20
417,高新区国际社区（住宅）项目高层、洋房及低密度住宅7#-28#栋剩余部分建安工程,200548316.9,五矿二十三冶建设集团有限公司,长沙高新控股集团有限公司,长沙高新技术产业开发区建设工程招标投标管理办公室,/,时间：2019-10-16 18:29:25
418,2019年雨花区支路街巷提质改造工程四标段,2790712.6,湖南圭塘建设有限公司,长沙市雨花区市政设施维护中心,长沙市雨花区住房和城乡建设局,/,时间：2019-10-16 18:29:23
419,望城区永通大道（云湖路-潇湘北路）项目施工,58813943.74,湖南省绿林市政景观工程有限公司,长沙市望城区城市建设投资集团有限公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-10-16 18:29:22
420,金星大道（荷塘撇洪渠-山与墅）污水管道工程,13367748.12,湖南华程建设工程有限公司,长沙市望城区基础设施建设投资管理中心,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-10-16 18:29:21
421,2019年“一圈两场三道”人行道建设项目第一标段,4172781.78,湖南擎天建设工程有限公司,长沙市天心区市政设施维护中心,长沙市天心区住房和城乡建设局,/,时间：2019-10-16 18:29:20
422,苏托垸污水处理厂纳污区苏垸路纳污干管（长捞路-污水处理厂段）建设工程施工,16417364.12,承运建工集团有限公司,湖南金霞发展集团有限公司,长沙市开福区招投标管理办公室,/,时间：2019-10-16 17:00:32
423,2019年”一圈两场三道“人行道建设项目第三标段,6104302.85,湖南省西湖建筑集团有限公司,长沙市天心区市政设施维护中心,长沙市天心区住房和城乡建设局,/,时间：2019-10-16 17:00:31
424,天心区社会福利中心室内装修和附属设施项目（室内装修）工程,11219583.63,湖南沙坪装饰有限公司,长沙市天心区民政局,长沙市天心区住房和城乡建设局,/,时间：2019-10-16 17:00:30
425,中国移动通信集团湖南有限公司长沙分公司涂家冲智能立体停车库项目（第三次）,/,湖南地生工业设备有限公司、湖南梅溪湖建设有限公司,中国移动通信集团湖南有限公司,/,/,时间：2019-10-16 17:00:29
426,沙坪工业园等14个公交站场配电设备运行维护服务项目,（人民币）,湖南睿扬电力建设有限公司,长沙市湘行交通新能源有限公司,/,/,时间：2019-10-16 17:00:27
427,湖南省档案馆中央空调改造安装工程,7028348.06,湖南天禹设备安装有限公司, 湖南省档案馆,长沙市建设工程招投标管理办公室,/,时间：2019-10-16 17:00:26
428,龙王港流域综合治理一期工程-龙王港枯水期河道应急补水工程（第三标段）,17772483.79,湖南东方红建设集团有限公司/吉林省水利水电工程局集团有限公司,湖南湘新水务投资有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-10-16 17:00:25
429,2019年雨花区支路街巷提质改造工程一标段,6962757.51,湖南天茂景观建设工程有限公司,长沙市雨花区市政设施维护中心,长沙市雨花区住房和城乡建设局,/,时间：2019-10-16 17:00:23
430,浏阳市高坪镇河东片区棚户区改造项目配套（三期）基础设施建设项目,2776888.48,湖南运腾建筑工程有限公司,浏阳市高坪镇人民政府,浏阳市发展和改革局,/,时间：2019-10-16 17:00:22
431,2019年雨花区支路街巷提质改造工程三标段,2839988.22,宏林建设工程集团有限公司,长沙市雨花区市政设施维护中心,长沙市雨花区住房和城乡建设局,/,时间：2019-10-16 17:00:22
432,2019年雨花区支路街巷提质改造工程二标段,3553860.37,湖南兴溢建设工程有限公司,长沙市雨花区市政设施维护中心,长沙市雨花区住房和城乡建设局,/,时间：2019-10-16 17:00:21
433,保利?西海岸E区商业mall及商业地下室一施工,公示期三个工作日。,中建三局第一建设工程有限责任公司,保利（长沙）西海岸置业有限公司,湘江新区管理委员会住建环保局,/,时间：2019-10-16 17:00:20
434,2019年”一圈两场三道“人行道建设项目第二标段,2807452.63,长沙洞井建筑股份有限公司,长沙市天心区市政设施维护中心,长沙市天心区住房和城乡建设局,/,时间：2019-10-16 16:59:21
435,黄花综合保税区跨境电商综合配套服务中心项目工程总承包（EPC）,50034128.51,湖南东方红建设集团有限公司(联合体牵头人),长沙综保投资有限公司,长沙县发展和改革局,/,时间：2019-10-16 16:59:20
436,夸特纳斯项目地块水系改造工程,19496639.79,湖南望新建设集团股份有限公司,湖南金霞发展集团有限公司,长沙市开福区招标投标管理办公室,/,时间：2019-10-14 18:16:22
437,北环路等6条道路排水管网提质改造项目第三标段,6092720.84,湖南坤鼎建设有限公司,湖南天环经济开发有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2019-10-14 18:16:21
438,北环路等6条道路排水管网提质改造项目第四标段,13302976.9,湖南岳麓山建设集团有限公司,湖南天环经济开发有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2019-10-14 18:15:20
439,浏阳市葛家镇富霞道路拓宽改造工程,2888154.91,湖南乐友建设园林有限公司,浏阳市葛家镇人民政府,浏阳市发展和改革局,/,时间：2019-10-14 13:58:20
440,宁乡经开区创新路污水管道改造工程一标段,14103845.39,湖南湘诚建设集团有限公司,宁乡经济技术开发区建设投资有限公司,宁乡经济技术开发区政府采购与招投标办公室,/,时间：2019-10-12 13:53:22
441,金恒?银杉里项目装修工程施工（第二次）,7681051.73,深圳新艺华建筑装饰工程有限公司,长沙金穗置业有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-10-12 13:50:21
442,宁乡高新区废水循环利用生产线项目三、四期工程建设设计施工总承包,17870285.25,湖南恒楚建设有限公司/长沙市规划设计院有限责任公司,宁乡金锂邦普环保科技有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2019-10-12 12:07:20
443,长沙县第一中学改扩建项目致远楼新建工程,16362415.7,湖南雷锋建设有限公司,长沙县第一中学,长沙县发展和改革局,/,时间：2019-10-12 12:05:20
444,节能环保产业园工业地产项目B5栋室内装饰工程,6068338.51,湖南湘超生态建设有限公司,长沙麓谷实业发展股份有限公司,长沙高新区招投标管理办公室,/,时间：2019-10-12 11:06:20
445,金融大厦东区抗震支架采购及安装项目,（人民币）,广州固兹建筑科技有限公司,长沙恒诚业房地产开发有限公司,湘江新区管理委员会住建环保局,/,时间：2019-10-12 10:24:21
446,湿地公园主入口广场修复工程项目施工,45031176.78,湖南东方红建设集团有限公司,长沙先导洋湖建设投资有限公司,/,/,时间：2019-10-12 10:24:20
447,岳麓山风景名胜区西大门（含桃花岭景区东入口连通桥）工程项目道路桥梁工程中标候选人更正公示,49040111.17,湖南望新建设集团股份有限公司,长沙岳麓山国家大学科技城建设投资有限公司,湘江新区管委会住建环保局,/,时间：2019-10-11 17:37:21
448,2019年-2020年长沙县城区站厕提质改造项目,8590935.27,湖南志鹏建设集团有限公司,长沙县城市管理局,长沙县发展和改革局,/,时间：2019-10-11 16:39:30
449,北环路等6条道路排水管网提质改造项目第一标段,6507492.34,湖南中屹项目管理有限公司,湖南天环经济开发有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2019-10-11 16:39:29
450,长沙经开区科技新城C7栋一至三层室内装修工程,5352508.42,承运建工集团有限公司,长沙经济技术开发区项目开发建设管理有限公司,长沙经济技术开发区政府采购与招投标办公室,/,时间：2019-10-11 16:39:28
451,天悦和苑二期农民安置房建设项目标段三,145363029.4,湖南省沙坪建设有限公司,长沙天悦投资有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2019-10-11 16:39:26
452,长沙市开福区福竹园农民安置房建设工程项目前期土方工程施工,公示期:2019年10月11日至2019年 10月15日。,湖南天禹建设园林有限公司,长沙市城北投资有限公司,长沙市开福区招投标管理办公室,/,时间：2019-10-11 16:39:25
453,岳麓山风景名胜区西大门（含桃花岭景区东入口连通桥）工程项目道路桥梁工程,49040111.17,湖南望新建设集团,长沙岳麓山国家大学科技城建设投资有限公司,湘江新区管委会住建环保局,/,时间：2019-10-11 16:39:24
454,天悦和苑二期农民安置房建设项目标段二,137216802,湖南顺天建设集团,长沙天悦投资有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2019-10-11 16:39:23
455,天悦和苑二期农民安置房建设项目标段一,103637293.1,湖南省西湖建筑集团,长沙天悦投资有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2019-10-11 16:39:22
456,汇景发展环球中心裙楼装修装饰工程施工,27177328.65,湖南六建装饰设计工程有限责任公司,湖南发展高新置业有限公司,长沙市建设工程招投标管理办公室,/,时间：2019-10-11 16:39:21
457,京珠高速西辅道（长沙大道-火焰路）电力埋管工程,5136305.51,兴能电力建设有限公司,长沙市雨花区公共工程建设中心,长沙市雨花区住房和城乡建设局,/,时间：2019-10-11 16:39:20
458,浔龙河生态示范点紫龙路（东八线）跨线桥工程,5280359.93,湖南中顺交通工程有限公司,长沙县果园镇人民政府,长沙县发展和改革局,/,时间：2019-10-11 16:38:23
459,北环路等6条道路排水管网提质改造项目第二标段,14633804.95,湖南省西湖建筑集团有限公司,湖南天环经济开发有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2019-10-11 16:38:22
460,安沙集镇集中居住区污水管网改造工程（一期）,7652998.42,湖南御艺园林建设工程有限公司,长沙县安沙镇人民政府,长沙县发展和改革局,/,时间：2019-10-11 16:38:20
461,铁道学院周边老旧小区配套基础设施建设项目,6745357.22,湖南天禹建设园林有限公司,长沙市天心区文源街道办事处,长沙市天心区住房和城乡建设局,/,时间：2019-10-11 10:08:23
462,郭亮南路二期（腾飞路（金星路）-前进路）道路工程（航空路-腾飞路）,49748827.63,湖南东方红建设集团有限公司,望城经开区建设开发公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-10-10 17:25:22
463,雨花区2019年桃阳苑小区环境综合提质改造工程,9576109.76,湖南省金凯园林集团有限公司,长沙市雨花区城市管理和综合执法局,长沙市雨花区住房和城乡建设局,/,时间：2019-10-10 17:25:22
464,湖南湘江智能科技创新中心有限公司智能系统检测实验室土方施工,6083338.42,湖南中硕工程有限公司,湖南湘江智能科技创新中心有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-10-10 17:25:20
465,城镇排污排口改造项目,6002631.96,湖南中集建设工程有限公司,浏阳经开区投资发展有限公司,浏阳经济技术开发区管委会财政局招标采购中心,/,时间：2019-10-10 11:42:20
466,2019年全区堵点管道疏浚及整治工程四标段,1646265.02,湖南天禹建设园林有限公司,长沙市天心区市政设施维护中心,长沙市天心区住房和城乡建设局,/,时间：2019-10-09 18:56:22
467,2019年全区堵点管道疏浚及整治工程二标段,1651502.48,湖南擎天建设工程有限公司,长沙市天心区市政设施维护中心,长沙市天心区住房和城乡建设局,/,时间：2019-10-09 18:56:20
468,长沙经开区索恩格工业园二期建设工程（厂房、仓库）施工,197003236.3,中国建筑第五工程局有限公司,长沙经济技术开发区项目开发建设管理有限公司,长沙经济技术开发区政府采购与招投标办公室,/,时间：2019-10-09 16:33:25
469,金井水库库区小型生活污水综合处理示范工程项目,7598138.1,湖南兴旺建设有限公司,长沙县金井镇人民政府,长沙县发展和改革局,/,时间：2019-10-09 16:33:24
470,金井镇雨水管网（金井社区）、污水管网（金井社区）改造工程,14243874.17,湖南咸嘉建设工程集团有限公司,长沙县金井镇人民政府,长沙县发展和改革局,/,时间：2019-10-09 16:33:23
471,2019年长沙县公安局基础设施修缮工程,3899950.37,湖南洪山建设集团有限公司,长沙县公安局,长沙县发展和改革局,/,时间：2019-10-09 16:33:22
472,/,/,/,/,/,/,/
473,宁乡市高新区望龙幼儿园建设项目,4859683.06,湖南双江建设工程有限公司,宁乡市金洲镇人民政府,宁乡市建设工程招标投标事务中心,/,时间：2019-10-09 16:32:20
474,经开区北片区环境综合整治工程施工一标段,32326959.31,长沙市市政工程有限责任公司,望城经开区建设开发公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-10-08 15:36:27
475,长沙经开区星沙水厂9万吨每天改扩建工程施工中标候选人（复评）,190523239.7,湖南望新建设集团股份有限公司,长沙经济技术开发区项目开发建设管理有限公司,长沙经济技术开发区政府采购与招投标办公室,/,时间：2019-10-08 15:36:25
476,经开区北片区环境综合整治工程施工二标段,109404892.7,湖南乔口建设有限公司,望城经开区建设开发公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-10-08 15:36:24
477,长沙市轨道交通6号线工程黄梨路车辆基地钢结构及屋面工程施工项目,144232988.6,五矿二十三冶建设集团有限公司,长沙市轨道交通六号线建设发展有限公司,长沙市建设工程招投标管理中心,/,时间：2019-10-08 15:36:23
478,2019年捞刀河街道路面中小修工程项目,6817789,湖南华程建设工程有限公司,长沙市开福区交通运输局,长沙市开福区招标投标管理办公室,/,时间：2019-10-08 15:36:22
479,长沙县人民医院建设项目（建筑工程）施工,911039012.2,中建三局集团有限公司,长沙县医健建设投资有限公司,长沙县发展和改革局,/,时间：2019-10-08 15:36:21
480,长沙市五一商圈环境综合整治工程（开福区范围）项目施工二标段,3309717.95,湖南省城市建筑集团有限公司,长沙市开福区城市管理和综合执法局,长沙市开福区招投标管理办公室,/,时间：2019-09-29 15:54:25
481,永安镇永安片区棚改配套基础设施（二期）建设项目,4818816.97,湖南祥昀建设工程有限公司,浏阳市永安镇人民政府,浏阳市发展和改革局,/,时间：2019-09-29 15:54:22
482,长沙市五一商圈（芙蓉区）环境综合整治工程 （设计采购施工）总承包,69298849.03,湖南省绿林市政景观工程有限公司（牵头人）湖南省建筑设计院有限公司,长沙市芙蓉区城市管理局,长沙市芙蓉区建设工程招投标管理办公室,/,时间：2019-09-29 15:54:20
483,长沙市望城区2019年中心城区老旧小区提质改造项目雨污水管道工程,1225389.96,长沙天卓塑胶有限公司,长沙市望城区住房保障服务中心,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-09-29 15:53:22
484,长沙市轨道交通6号线工程黄梨路车辆基地市政及房建工程施工项目,661639871.2,中建五局第三建设有限公司,长沙市轨道交通六号线建设发展有限公司,长沙市建设工程招标投标中心,/,时间：2019-09-29 15:53:20
485,乌山站前广场及进场道路工程,10018088.67,湖南松雅建设工程有限公司,望城经开区建设开发公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-09-27 15:29:22
486,沅丰坝撇洪渠（卫星桥—北二环）段主要排水口截污改造工程施工,10805892.37,湖南金辉建设集团有限公司,长沙市开福区公共工程建设中心,长沙市开福区招投标管理办公室,/,时间：2019-09-27 12:05:20
487,浏阳经开区G319南侧污水主管项目,7436214.92,湖南洪山建设集团有限公司,浏阳经开区投资发展有限公司,浏阳经济技术开发区管委会财政局招标采购中心,/,时间：2019-09-27 11:44:21
488,宝塔路（花炮大道-禧和路）道路工程,7690941.07,湖南城市绿韵建设工程有限公司,浏阳市城市建设集团有限公司,浏阳市发展和改革局,/,时间：2019-09-27 11:35:20
489,长沙市五一商圈环境综合整治工程（开福区范围）项目施工三标段,3236546.35,承运建工集团有限公司,长沙市开福区城市管理和综合执法局,长沙市开福区招投标管理办公室,/,时间：2019-09-27 11:23:24
490,2019年雨花区支路街巷提质改造工程三标段,2839988.22,宏林建设工程集团有限公司,长沙市雨花区市政设施维护中心,长沙市雨花区住房和城乡建设局,/,时间：2019-10-16 17:00:22
491,2019年雨花区支路街巷提质改造工程二标段,3553860.37,湖南兴溢建设工程有限公司,长沙市雨花区市政设施维护中心,长沙市雨花区住房和城乡建设局,/,时间：2019-10-16 17:00:21
492,保利?西海岸E区商业mall及商业地下室一施工,公示期三个工作日。,中建三局第一建设工程有限责任公司,保利（长沙）西海岸置业有限公司,湘江新区管理委员会住建环保局,/,时间：2019-10-16 17:00:20
493,2019年”一圈两场三道“人行道建设项目第二标段,2807452.63,长沙洞井建筑股份有限公司,长沙市天心区市政设施维护中心,长沙市天心区住房和城乡建设局,/,时间：2019-10-16 16:59:21
494,黄花综合保税区跨境电商综合配套服务中心项目工程总承包（EPC）,50034128.51,湖南东方红建设集团有限公司(联合体牵头人),长沙综保投资有限公司,长沙县发展和改革局,/,时间：2019-10-16 16:59:20
495,夸特纳斯项目地块水系改造工程,19496639.79,湖南望新建设集团股份有限公司,湖南金霞发展集团有限公司,长沙市开福区招标投标管理办公室,/,时间：2019-10-14 18:16:22
496,北环路等6条道路排水管网提质改造项目第三标段,6092720.84,湖南坤鼎建设有限公司,湖南天环经济开发有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2019-10-14 18:16:21
497,北环路等6条道路排水管网提质改造项目第四标段,13302976.9,湖南岳麓山建设集团有限公司,湖南天环经济开发有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2019-10-14 18:15:20
498,浏阳市葛家镇富霞道路拓宽改造工程,2888154.91,湖南乐友建设园林有限公司,浏阳市葛家镇人民政府,浏阳市发展和改革局,/,时间：2019-10-14 13:58:20
499,宁乡经开区创新路污水管道改造工程一标段,14103845.39,湖南湘诚建设集团有限公司,宁乡经济技术开发区建设投资有限公司,宁乡经济技术开发区政府采购与招投标办公室,/,时间：2019-10-12 13:53:22
500,金恒?银杉里项目装修工程施工（第二次）,7681051.73,深圳新艺华建筑装饰工程有限公司,长沙金穗置业有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-10-12 13:50:21
501,宁乡高新区废水循环利用生产线项目三、四期工程建设设计施工总承包,17870285.25,湖南恒楚建设有限公司/长沙市规划设计院有限责任公司,宁乡金锂邦普环保科技有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2019-10-12 12:07:20
502,长沙县第一中学改扩建项目致远楼新建工程,16362415.7,湖南雷锋建设有限公司,长沙县第一中学,长沙县发展和改革局,/,时间：2019-10-12 12:05:20
503,节能环保产业园工业地产项目B5栋室内装饰工程,6068338.51,湖南湘超生态建设有限公司,长沙麓谷实业发展股份有限公司,长沙高新区招投标管理办公室,/,时间：2019-10-12 11:06:20
504,金融大厦东区抗震支架采购及安装项目,（人民币）,广州固兹建筑科技有限公司,长沙恒诚业房地产开发有限公司,湘江新区管理委员会住建环保局,/,时间：2019-10-12 10:24:21
505,湿地公园主入口广场修复工程项目施工,45031176.78,湖南东方红建设集团有限公司,长沙先导洋湖建设投资有限公司,/,/,时间：2019-10-12 10:24:20
506,岳麓山风景名胜区西大门（含桃花岭景区东入口连通桥）工程项目道路桥梁工程中标候选人更正公示,49040111.17,湖南望新建设集团股份有限公司,长沙岳麓山国家大学科技城建设投资有限公司,湘江新区管委会住建环保局,/,时间：2019-10-11 17:37:21
507,2019年-2020年长沙县城区站厕提质改造项目,8590935.27,湖南志鹏建设集团有限公司,长沙县城市管理局,长沙县发展和改革局,/,时间：2019-10-11 16:39:30
508,北环路等6条道路排水管网提质改造项目第一标段,6507492.34,湖南中屹项目管理有限公司,湖南天环经济开发有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2019-10-11 16:39:29
509,长沙经开区科技新城C7栋一至三层室内装修工程,5352508.42,承运建工集团有限公司,长沙经济技术开发区项目开发建设管理有限公司,长沙经济技术开发区政府采购与招投标办公室,/,时间：2019-10-11 16:39:28
510,天悦和苑二期农民安置房建设项目标段三,145363029.4,湖南省沙坪建设有限公司,长沙天悦投资有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2019-10-11 16:39:26
511,长沙市开福区福竹园农民安置房建设工程项目前期土方工程施工,公示期:2019年10月11日至2019年 10月15日。,湖南天禹建设园林有限公司,长沙市城北投资有限公司,长沙市开福区招投标管理办公室,/,时间：2019-10-11 16:39:25
512,岳麓山风景名胜区西大门（含桃花岭景区东入口连通桥）工程项目道路桥梁工程,49040111.17,湖南望新建设集团,长沙岳麓山国家大学科技城建设投资有限公司,湘江新区管委会住建环保局,/,时间：2019-10-11 16:39:24
513,天悦和苑二期农民安置房建设项目标段二,137216802,湖南顺天建设集团,长沙天悦投资有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2019-10-11 16:39:23
514,天悦和苑二期农民安置房建设项目标段一,103637293.1,湖南省西湖建筑集团,长沙天悦投资有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2019-10-11 16:39:22
515,汇景发展环球中心裙楼装修装饰工程施工,27177328.65,湖南六建装饰设计工程有限责任公司,湖南发展高新置业有限公司,长沙市建设工程招投标管理办公室,/,时间：2019-10-11 16:39:21
516,京珠高速西辅道（长沙大道-火焰路）电力埋管工程,5136305.51,兴能电力建设有限公司,长沙市雨花区公共工程建设中心,长沙市雨花区住房和城乡建设局,/,时间：2019-10-11 16:39:20
517,浔龙河生态示范点紫龙路（东八线）跨线桥工程,5280359.93,湖南中顺交通工程有限公司,长沙县果园镇人民政府,长沙县发展和改革局,/,时间：2019-10-11 16:38:23
518,北环路等6条道路排水管网提质改造项目第二标段,14633804.95,湖南省西湖建筑集团有限公司,湖南天环经济开发有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2019-10-11 16:38:22
519,安沙集镇集中居住区污水管网改造工程（一期）,7652998.42,湖南御艺园林建设工程有限公司,长沙县安沙镇人民政府,长沙县发展和改革局,/,时间：2019-10-11 16:38:20
520,铁道学院周边老旧小区配套基础设施建设项目,6745357.22,湖南天禹建设园林有限公司,长沙市天心区文源街道办事处,长沙市天心区住房和城乡建设局,/,时间：2019-10-11 10:08:23
521,郭亮南路二期（腾飞路（金星路）-前进路）道路工程（航空路-腾飞路）,49748827.63,湖南东方红建设集团有限公司,望城经开区建设开发公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-10-10 17:25:22
